sep=;
Timestamp [us];Power measure [W]
214.000000;43.4150
5927.000000;43.4150
11770.000000;43.4150
30132.000000;43.4570
35444.000000;43.4570
40921.000000;43.4570
48190.000000;43.4570
65071.000000;43.4570
70269.000000;43.4570
75554.000000;43.4570
81097.000000;43.4570
86401.000000;43.4570
91701.000000;43.4570
96992.000000;43.4570
102331.000000;43.4570
110524.000000;43.4570
115812.000000;43.4570
121039.000000;43.4570
126437.000000;43.4570
131645.000000;43.6350
136852.000000;43.6350
142303.000000;43.6350
147808.000000;43.6350
154054.000000;43.6350
159254.000000;43.6350
164611.000000;43.6350
169800.000000;43.6350
174980.000000;43.6350
180156.000000;43.6350
185334.000000;43.6350
190509.000000;43.6350
195750.000000;43.6350
200913.000000;43.6350
206095.000000;43.6350
211326.000000;43.6350
216513.000000;43.6350
221717.000000;43.6350
226902.000000;43.6350
232120.000000;43.6350
237330.000000;43.6850
242507.000000;43.6850
248038.000000;43.6850
253248.000000;43.6850
258432.000000;43.6850
263629.000000;43.6850
268854.000000;43.6850
274096.000000;43.6850
279286.000000;43.6850
284474.000000;43.6850
289899.000000;43.6850
295401.000000;43.6850
300613.000000;43.6850
305818.000000;43.6850
311036.000000;43.6850
316229.000000;43.6850
321405.000000;43.6850
326640.000000;43.6850
332035.000000;43.6850
337414.000000;43.6850
342618.000000;43.6980
347781.000000;43.6980
352983.000000;43.6980
358183.000000;43.6980
363390.000000;43.6980
368573.000000;43.6980
373955.000000;43.6980
379163.000000;43.6980
384354.000000;43.6980
389531.000000;43.6980
394710.000000;43.6980
399997.000000;43.6980
405281.000000;43.6980
410585.000000;43.6980
416060.000000;43.6980
421540.000000;43.6980
427023.000000;43.6980
432407.000000;43.6980
437662.000000;43.6980
443095.000000;43.7070
448688.000000;43.7070
454108.000000;43.7070
459505.000000;43.7070
464825.000000;43.7070
470249.000000;43.7070
475463.000000;43.7070
480681.000000;43.7070
485903.000000;43.7070
491129.000000;43.7070
496431.000000;43.7070
501662.000000;43.7070
506937.000000;43.7070
512180.000000;43.7070
517464.000000;43.7070
522714.000000;43.7070
528030.000000;43.7070
533379.000000;43.7070
538974.000000;43.7070
544206.000000;51.1800
549483.000000;51.1800
554705.000000;51.1800
559965.000000;51.1800
565247.000000;51.1800
570623.000000;51.1800
575848.000000;51.1800
581095.000000;51.1800
586320.000000;51.1800
591542.000000;51.1800
596981.000000;51.1800
602207.000000;51.1800
607433.000000;51.1800
612651.000000;51.1800
617876.000000;51.1800
623119.000000;51.1800
628424.000000;51.1800
633880.000000;51.1800
639194.000000;51.1800
644400.000000;51.1800
649621.000000;61.4010
655016.000000;61.4010
660337.000000;61.4010
667984.000000;61.4010
673206.000000;61.4010
678649.000000;61.4010
683872.000000;61.4010
689099.000000;61.4010
694380.000000;61.4010
699768.000000;61.4010
705023.000000;61.4010
710246.000000;61.4010
715465.000000;61.4010
720714.000000;61.4010
725916.000000;61.4010
731283.000000;61.4010
736525.000000;61.4010
741792.000000;61.4010
747198.000000;61.4010
752434.000000;71.0650
757665.000000;71.0650
762895.000000;71.0650
768282.000000;71.0650
773506.000000;71.0650
778740.000000;71.0650
784043.000000;71.0650
789346.000000;71.0650
794559.000000;71.0650
799860.000000;71.0650
805107.000000;71.0650
810467.000000;71.0650
815678.000000;71.0650
820892.000000;71.0650
826191.000000;71.0650
831438.000000;71.0650
836700.000000;71.0650
841963.000000;71.0650
847344.000000;71.0650
852578.000000;71.0650
857837.000000;81.3720
863081.000000;81.3720
868351.000000;81.3720
874970.000000;81.3720
880192.000000;81.3720
885646.000000;81.3720
890878.000000;81.3720
896091.000000;81.3720
901351.000000;81.3720
906621.000000;81.3720
911870.000000;81.3720
917163.000000;81.3720
922385.000000;81.3720
927612.000000;81.3720
932833.000000;81.3720
938273.000000;81.3720
943553.000000;81.3720
948805.000000;81.3720
954029.000000;81.3720
959257.000000;91.6600
964549.000000;91.6600
969785.000000;91.6600
975013.000000;91.6600
980260.000000;91.6600
985692.000000;91.6600
990924.000000;91.6600
996214.000000;91.6600
1001472.000000;91.6600
1006809.000000;91.6600
1012026.000000;91.6600
1017263.000000;91.6600
1022529.000000;91.6600
1027772.000000;91.6600
1033086.000000;91.6600
1038448.000000;91.6600
1043697.000000;91.6600
1048920.000000;91.6600
1054152.000000;91.6600
1059398.000000;91.6600
1064760.000000;101.9280
1069994.000000;101.9280
1075232.000000;101.9280
1080456.000000;101.9280
1085675.000000;101.9280
1090933.000000;101.9280
1096211.000000;101.9280
1101462.000000;101.9280
1106709.000000;101.9280
1111940.000000;101.9280
1117126.000000;101.9280
1122507.000000;101.9280
1127734.000000;101.9280
1132971.000000;101.9280
1138258.000000;101.9280
1143485.000000;101.9280
1148823.000000;101.9280
1154054.000000;101.9280
1159326.000000;101.9280
1164590.000000;101.9280
1169840.000000;112.1070
1175112.000000;112.1070
1180344.000000;112.1070
1185642.000000;112.1070
1190872.000000;112.1070
1196145.000000;112.1070
1201581.000000;112.1070
1206840.000000;112.1070
1212094.000000;112.1070
1217347.000000;112.1070
1222632.000000;112.1070
1228010.000000;112.1070
1233243.000000;112.1070
1238470.000000;112.1070
1243704.000000;112.1070
1249214.000000;112.1070
1254466.000000;112.1070
1259698.000000;112.1070
1264926.000000;112.1070
1270176.000000;122.5250
1275411.000000;122.5250
1280767.000000;122.5250
1285998.000000;122.5250
1291605.000000;122.5250
1296839.000000;122.5250
1302149.000000;122.5250
1307394.000000;122.5250
1312631.000000;122.5250
1317866.000000;122.5250
1323091.000000;122.5250
1328335.000000;122.5250
1333548.000000;122.5250
1338767.000000;122.5250
1344034.000000;122.5250
1349257.000000;122.5250
1354661.000000;122.5250
1359931.000000;122.5250
1365155.000000;122.5250
1370352.000000;122.5250
1375582.000000;132.7960
1380912.000000;132.7960
1386144.000000;132.7960
1391386.000000;132.7960
1396620.000000;132.7960
1401865.000000;132.7960
1407096.000000;132.7960
1412621.000000;132.7960
1417874.000000;132.7960
1423469.000000;132.7960
1428889.000000;132.7960
1434152.000000;132.7960
1439414.000000;132.7960
1445123.000000;132.7960
1450380.000000;132.7960
