sep=;
Timestamp [us];Power measure [W]
736.000000;42.7480
7018.000000;42.7480
26267.000000;42.7480
31913.000000;42.7480
40695.000000;42.7480
46405.000000;42.7480
52413.000000;42.7480
58044.000000;42.7480
64559.000000;42.7480
70158.000000;42.7480
76557.000000;42.7480
83496.000000;42.7480
90638.000000;42.7480
99919.000000;42.7960
106100.000000;42.7960
111957.000000;42.7960
117488.000000;42.7960
123960.000000;42.7960
130538.000000;42.7960
137403.000000;42.7960
142972.000000;42.7960
148554.000000;42.7960
154455.000000;42.7960
161296.000000;42.7960
167837.000000;42.7960
173393.000000;42.7960
179035.000000;42.7960
184616.000000;42.7960
190136.000000;42.7960
195695.000000;42.7960
201220.000000;42.7960
206769.000000;42.7580
213415.000000;42.7580
219709.000000;42.7580
225268.000000;42.7580
230821.000000;42.7580
236429.000000;42.7580
242043.000000;42.7580
247594.000000;42.7580
254159.000000;42.7580
260334.000000;42.7580
265934.000000;42.7580
271501.000000;42.7580
277121.000000;42.7580
282643.000000;42.7580
288290.000000;42.7580
293862.000000;42.7580
300551.000000;42.7580
306086.000000;42.6910
311622.000000;42.6910
317234.000000;42.6910
322800.000000;42.6910
328401.000000;42.6910
333985.000000;42.6910
339879.000000;42.6910
346535.000000;42.6910
352132.000000;42.6910
357761.000000;42.6910
363320.000000;42.6910
368871.000000;42.6910
374772.000000;42.6910
380390.000000;42.6910
387030.000000;42.6910
393272.000000;42.6910
400386.000000;42.6910
406558.000000;42.6910
412755.000000;42.6250
419876.000000;42.6250
425987.000000;42.6250
432960.000000;42.6250
439809.000000;42.6250
445859.000000;42.6250
451879.000000;42.6250
457595.000000;42.6250
463414.000000;42.6250
469366.000000;42.6250
475077.000000;42.6250
481113.000000;42.6250
486868.000000;42.6250
493064.000000;42.6250
498965.000000;42.6250
504932.000000;42.6250
510741.000000;42.6250
516753.000000;48.1010
522514.000000;48.1010
529052.000000;48.1010
534801.000000;48.1010
540751.000000;48.1010
546553.000000;48.1010
553083.000000;48.1010
559293.000000;48.1010
565105.000000;48.1010
571035.000000;48.1010
576825.000000;48.1010
582702.000000;48.1010
588505.000000;48.1010
594528.000000;48.1010
600330.000000;48.1010
606027.000000;48.1010
611903.000000;48.1010
617705.000000;57.8060
623983.000000;57.8060
629748.000000;57.8060
635783.000000;57.8060
641548.000000;57.8060
647512.000000;57.8060
653247.000000;57.8060
659428.000000;57.8060
665304.000000;57.8060
671279.000000;57.8060
677002.000000;57.8060
682744.000000;57.8060
688541.000000;57.8060
694469.000000;57.8060
700546.000000;57.8060
706315.000000;57.8060
712558.000000;57.8060
718772.000000;57.8060
724772.000000;67.9620
730783.000000;67.9620
738604.000000;67.9620
744670.000000;67.9620
750531.000000;67.9620
756320.000000;67.9620
762140.000000;67.9620
767914.000000;67.9620
773838.000000;67.9620
779608.000000;67.9620
785338.000000;67.9620
791284.000000;67.9620
797025.000000;67.9620
803148.000000;67.9620
808878.000000;67.9620
814830.000000;67.9620
820652.000000;67.9620
826496.000000;78.1380
832314.000000;78.1380
838122.000000;78.1380
844224.000000;78.1380
849978.000000;78.1380
856013.000000;78.1380
861807.000000;78.1380
867780.000000;78.1380
873539.000000;78.1380
879664.000000;78.1380
885493.000000;78.1380
891529.000000;78.1380
897402.000000;78.1380
903222.000000;78.1380
909380.000000;78.1380
915161.000000;78.1380
921177.000000;78.1380
927012.000000;88.3540
933024.000000;88.3540
938791.000000;88.3540
945000.000000;88.3540
950792.000000;88.3540
956674.000000;88.3540
962439.000000;88.3540
968269.000000;88.3540
974273.000000;88.3540
980053.000000;88.3540
985934.000000;88.3540
991778.000000;88.3540
997866.000000;88.3540
1003628.000000;88.3540
1009720.000000;88.3540
1015526.000000;88.3540
1021533.000000;88.3540
1027276.000000;88.3540
1033121.000000;98.5170
1039197.000000;98.5170
1045704.000000;98.5170
1051447.000000;98.5170
1057421.000000;98.5170
1063210.000000;98.5170
1069270.000000;98.5170
1075001.000000;98.5170
1081202.000000;98.5170
1087025.000000;98.5170
1093064.000000;98.5170
1098928.000000;98.5170
1104800.000000;98.5170
1110585.000000;98.5170
1116758.000000;98.5170
1122545.000000;98.5170
1128501.000000;98.5170
1134309.000000;108.8070
1140134.000000;108.8070
1146004.000000;108.8070
1151783.000000;108.8070
1157646.000000;108.8070
1163525.000000;108.8070
1169551.000000;108.8070
1175308.000000;108.8070
1181364.000000;108.8070
1187177.000000;108.8070
1193214.000000;108.8070
1199007.000000;108.8070
1204789.000000;108.8070
1210823.000000;108.8070
1216627.000000;108.8070
1222592.000000;108.8070
1228461.000000;108.8070
1234573.000000;108.8070
1240438.000000;119.0030
1246543.000000;119.0030
1252403.000000;119.0030
1258275.000000;119.0030
1263979.000000;119.0030
1269695.000000;119.0030
1275671.000000;119.0030
1281465.000000;119.0030
1287358.000000;119.0030
1293110.000000;119.0030
1299122.000000;119.0030
1304921.000000;119.0030
1311108.000000;119.0030
1316921.000000;119.0030
